Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,023090,2008,08,26,17.5,1,Y
IDCJAC0010,023090,2008,08,27,15.5,1,Y
IDCJAC0010,023090,2008,08,28,18.7,1,Y
IDCJAC0010,023090,2008,08,29,17.6,1,Y
IDCJAC0010,023090,2008,08,30,18.6,1,Y
IDCJAC0010,023090,2008,08,31,15.2,1,Y
IDCJAC0010,023090,2008,09,01,17.1,1,Y
IDCJAC0010,023090,2008,09,02,16.8,1,Y
IDCJAC0010,023090,2008,09,03,16.8,1,Y
IDCJAC0010,023090,2008,09,04,17.5,1,Y
IDCJAC0010,023090,2008,09,05,18.8,1,Y
IDCJAC0010,023090,2008,09,06,22.6,1,Y
IDCJAC0010,023090,2008,09,07,17.0,1,Y
IDCJAC0010,023090,2008,09,08,18.0,1,Y
IDCJAC0010,023090,2008,09,09,19.8,1,Y
IDCJAC0010,023090,2008,09,10,21.9,1,Y
IDCJAC0010,023090,2008,09,11,24.9,1,Y
IDCJAC0010,023090,2008,09,12,21.3,1,Y
IDCJAC0010,023090,2008,09,13,28.4,1,Y
IDCJAC0010,023090,2008,09,14,17.5,1,Y
IDCJAC0010,023090,2008,09,15,14.7,1,Y
IDCJAC0010,023090,2008,09,16,15.3,1,Y
IDCJAC0010,023090,2008,09,17,21.0,1,Y
IDCJAC0010,023090,2008,09,18,24.8,1,Y
IDCJAC0010,023090,2008,09,19,22.2,1,Y
IDCJAC0010,023090,2008,09,20,17.3,1,Y
IDCJAC0010,023090,2008,09,21,22.5,1,Y
IDCJAC0010,023090,2008,09,22,15.0,1,Y
IDCJAC0010,023090,2008,09,23,16.8,1,Y
IDCJAC0010,023090,2008,09,24,19.4,1,Y
IDCJAC0010,023090,2008,09,25,23.9,1,Y
IDCJAC0010,023090,2008,09,26,28.0,1,Y
IDCJAC0010,023090,2008,09,27,33.7,1,Y
IDCJAC0010,023090,2008,09,28,19.1,1,Y
IDCJAC0010,023090,2008,09,29,16.7,1,Y
IDCJAC0010,023090,2008,09,30,22.8,1,Y
IDCJAC0010,023090,2008,10,01,27.2,1,Y
IDCJAC0010,023090,2008,10,02,24.8,1,Y
IDCJAC0010,023090,2008,10,03,20.4,1,Y
